//---------------------Control_Parameters_on_Fitting---------------------
//OrganType(id)--------Blade-Petiel-Internode-FemaleFlower-MaleFlower-Ring-Root
Time_Expansion(c_t_exp) 0 0 0 0 0 0 0
Para_a(c_Bt_a) 0 0 0 0 0 0 0
Para_b(c_Bt_b) 1 1 1 1 0 0 0
    
Sink_Blade(c_S_B)     0 0 0 0 0 0
Sink_Petiole(c_S_P)   0 0 0 0 0 0
Sink_Internode(c_S_I) 0 0 0 0 0 0
Sink_Female(c_S_Ff)   0 0 0 0 0 0
Sink_Male(c_S_Fm)     0 0 0 0 0 0
Sink_Layer(c_S_L)     0 0 0 0 0 0
Sink_Root(c_S_R)      0 0 0 0 0 0
  
Allom_Internode(c_a_bI) 0 0 0 0 0 0
(c_a_aI)                0 0 0 0 0 0
Allom_Petiole(c_a_bP)   0 0 0 0 0 0
(c_a_aP)                0 0 0 0 0 0
Allom_Thick(c_Th_B)     0 0 0 0 0 0
Female_Density(c_Den_Ff) 0 0 0 0 0 0
Male_Density(c_Den_Fm)  0 0 0 0 0 0
Internode_Dens(c_Den_I) 0 0 0 0 0 0
  
Resist_Blade(c_r_B)      0
Resist_Petiole(c_r_P)    0
Projected_area(c_Sp)     0
Beer_law(c_rp)           1
Beer_law(c_kp)           1
  
Resist_Root(c_r_R)       0
Seed_Biomass(c_Q0)       0
Flow_Biomass(c_dQ0)      0
  
WeightRoot(Q_R)      0
WeightBlade(Q_B)     1 0 0 0 0 0  
WeightPetiole(Q_P)   1 0 0 0 0 0 
WeightInternode(Q_I) 1 0 0 0 0 0
WeightFemale(Q_Ff)   1 0 0 0 0 0
WeightMale(Q_Fm)     1 0 0 0 0 0
AreaInternode(S_B)   0 0 0 0 0 0
HeightInternode(S_I) 0 0 0 0 0 0
AreaBlade(H_I)       0 0 0 0 0 0


//**********************Target*data***************************
NumberPlant(NumPlt)  3

InfoPlant(CA,PA,LoD) 14 1 0
Root(Q_R)  -1
InfoAxis(ID,PA,CA)  0  1  14 1
//-GU--NbSub--IDSub--Q_B--Q_P--Q_I--Q_Ff--Q_Fm-S_B--S_I--H_I- 
GU	1	0	-1	0.09	0.09	0.71	0	0	5.7	0.47	0.47
GU	2	0	-1	0.23	0.19	0.71	0	0	12.8	0.47	0.47
GU	3	0	-1	0.49	0.37	0.71	0	0	24.26	0.47	0.47
GU	4	0	-1	1.15	1.07	0.71	0	0	54.3	0.47	0.47
GU	5	0	-1	2.45	2.77	0.71	0	0	103.35	0.47	0.47
GU	6	0	-1	4.35	5.82	2.61	0	0	164.36	0.88	0.88
GU	7	0	-1	6.77	9.98	5.7	0	0	240.71	1.84	1.84
GU	8	0	-1	10.02	13.26	4.46	0	0	338.75	1.77	1.77
GU	9	0	-1	14.11	10.6	1.64	0	0	425.55	-1	-1
GU	10	0	-1	15.76	2.58	0.63	0	0	-1	-1	-1
GU	11	0	-1	11.82	0.32	0.14	0	0	-1	-1	-1
GU	12	0	-1	7.78	0.01	0.03	0	0	-1	-1	-1
GU	13	0	-1	4.8	0	-1	0	0	-1	-1	-1
GU	14	0	-1	1.24	0	-1	0	0	-1	-1	-1

end

InfoPlant(CA,PA,LoD) 21 1 0
Root(Q_R)  -1
InfoAxis(ID,PA,CA)  0  1  21 1
//-GU--NbSub--IDSub--Q_B--Q_P--Q_I--Q_Ff--Q_Fm-S_B--S_I--H_I- 
GU	1	0	-1	0.09	0.09	2.35	0	0	5.7	1.91	0.66
GU	2	0	-1	0.23	0.19	2.35	0	0	12.8	1.91	0.66
GU	3	0	-1	0.41	0.34	2.35	0	0	14.34	1.91	0.66
GU	4	0	-1	1.03	0.95	2.35	0	0	45.26	1.91	0.66
GU	5	0	-1	1.23	0.74	2.35	0	0	94.06	1.91	0.66
GU	6	0	-1	3.57	2.51	2.35	0	0	139.22	1.91	0.66
GU	7	0	-1	6.78	7.33	12.76	0	0	257.59	2.89	1.71
GU	8	0	-1	10.56	12.68	35.06	0	0	361.63	3.24	4.13
GU	9	0	-1	14.59	17.06	54.66	0	0	500.65	3.09	7.3
GU	10	0	-1	19.31	20.11	62.41	0	0	658.1	2.91	10.25
GU	11	0	-1	22.13	21.22	59.32	0	0	742.75	2.78	11.82
GU	12	0	-1	25.73	21.67	54.6	0	0	840.69	2.62	12.73
GU	13	0	-1	27.68	21.46	49.14	0	0	908.11	2.49	12.99
GU	14	0	-1	29.21	20.6	47.21	0	0	978.35	2.35	13.47
GU	15	0	-1	27.69	19.91	45.17	36.48	0	977.36	2.19	13.53
GU	16	0	-1	27.06	18.34	28.08	0	0	968.02	1.9	10.49
GU	17	0	-1	25.69	16.06	11.13	0	0	931.92	1.57	6.13
GU	18	0	-1	23.05	11.18	3.12	0	0	-1	1.26	2.65
GU	19	0	-1	19	5.49	0.99	0	0	-1	0.92	1.51
GU	20	0	-1	10.67	1.83	0.26	0	0	-1	-1	-1
GU	21	0	-1	5.45	0.45	0.17	0	0	-1	-1	-1

end

InfoPlant(CA,PA,LoD) 33 1 0
Root(Q_R)  -1
InfoAxis(ID,PA,CA)  0  1  33 1
//-GU--NbSub--IDSub--Q_B--Q_P--Q_I--Q_Ff--Q_Fm-S_B--S_I--H_I- 
GU	1	0	-1	0.09	0.09	2.01	0	0	5.7	2.01	0.65
GU	2	0	-1	0.23	0.19	2.01	0	0	12.8	2.01	0.65
GU	3	0	-1	0.41	0.34	2.01	0	0	14.34	2.01	0.65
GU	4	0	-1	1.03	0.95	2.01	0	0	45.26	2.01	0.65
GU	5	0	-1	4.5	2.75	2.01	0	0	178.38	2.01	0.65
GU	6	0	-1	8.22	7.76	26.23	0	0	315.23	26.23	3.73
GU	7	0	-1	11.46	10.29	44.21	0	0	409.82	44.21	6.33
GU	8	0	-1	15.46	13.23	52.53	0	0	535.42	52.53	8.88
GU	9	0	-1	19.78	15.26	53.34	0	0	670.34	53.34	10.43
GU	10	0	-1	23.58	16.24	50.71	0	0	792.32	50.71	11.75
GU	11	0	-1	26.45	17.17	44.32	0	0	908.06	44.32	12.73
GU	12	0	-1	28.38	17.63	39.92	0	0	977.94	39.92	13.75
GU	13	0	-1	28.11	17.25	34.48	0	0	1007.87	34.48	14.18
GU	14	0	-1	26.75	17.14	26.82	0	0	987.71	26.82	14.58
GU	15	0	-1	24.77	15.84	20.86	895.4	0	912.65	20.86	14.2
GU	16	0	-1	22.22	14.36	16.2	0	0	855.31	16.2	14.23
GU	17	0	-1	18.86	12.42	12.43	0	0	739.27	12.43	14.55
GU	18	0	-1	14.35	10.1	8.94	0	0	597.45	8.94	14.08
GU	19	0	-1	9.25	7.65	6.7	0	0	421.99	6.7	14.48
GU	20	0	-1	4.18	3.99	3.88	0	0	205.85	3.88	11.53
GU	21	0	-1	0.2	1.12	1.11	0	29.11	9.11	1.11	-1
end









