environmental target file: temp2.dat, temperature and light data

GCNumber	WATER		TEMPERATURE	LIGHT		
GC1: 		0		13.84		878.75
GC2: 		0		12.07		1000
GC3: 		0		17.99		982.88
GC4: 		0.27		13.84		869.91
GC5: 		1.42		15.65		962.29
GC6: 		3.7		21.25		924.73
GC7: 		7.16		23.74		1000
GC8: 		11.76		27.34		1000
GC9: 		17.4		34.69		1000
GC10: 		23.96		30.92		1000
GC11: 		31.26		32.53		1000
GC12: 		39.13		33.35		980.51
GC13: 		47.34		30.24		1000
GC14: 		55.71		24.13		150
GC15: 		64.03		24.86		158.24
GC16: 		72.08		22.46		163.69
GC17: 		79.67		23.43		150
GC18: 		86.62		20.56		150
GC19: 		92.74		28.58		150
GC20: 		97.88		23.6		163.44
GC21: 		101.91		20.66		250.91
GC22: 		104.7		23.62		150
GC23: 		106.17		21.03		150
GC24: 		106.25		24.08		150
GC25: 		104.9		29.14		247.2
GC26: 		102.12		33.1		150
GC27: 		97.94		22.69		265.44
GC28: 		92.42		30.34		1000
GC29: 		85.65		28.88		1000
GC30: 		77.79		27.81		886.15
GC31: 		69.01		35		864.49
GC32: 		59.53		33.09		964.05
GC33: 		49.61		27.01		973.84
GC34: 		39.56		23.37		970.42
GC35: 		29.74		29.33		976.3
GC36: 		20.56		20.09		963.09
GC37: 		12.46		17.04		1000
GC38: 		5.95		12.99		1000
GC39: 		1.6		16.06		1000
GC40: 		0		12.96		898.89
