environmental target file: temp2.dat, temperature and light data

GCNumber		WATER		TEMPERATURE		LIGHT
GC1: 		1200		15		1000
GC2: 		1200		15		1000
GC3: 		1200		15		1000
GC4: 		1200		15		1000
GC5: 		1200		15		1000
GC6: 		1200		15		1000
GC7: 		1200		15		1000
GC8: 		1200		15		1000
GC9: 		1200		15		1000
GC10: 		1200		15		1000
GC11: 		1200		15		1000
GC12: 		1200		15		1000
GC13: 		1200		15		1000
GC14: 		1200		15		1000
GC15: 		1200		15		1000
GC16: 		1200		15		1000
GC17: 		1200		15		1000
GC18: 		1200		30		1000
GC19: 		1200		30		1000
GC20: 		1200		30		1000
GC21: 		1200		30		1000
GC22: 		1200		30		1000
GC23: 		1200		30		1000
GC24: 		1200		30		1000
GC25: 		1200		30		1000
GC26: 		1200		30		1000
GC27: 		1200		30		1000
GC28: 		1200		30		1000
GC29: 		1200		30		1000
GC30: 		1200		30		1000
GC31: 		1200		30		1000
GC32: 		1200		30		1000
GC33: 		1200		30		1000
GC34: 		1200		30		1000
GC35: 		1200		30		1000
GC36: 		1200		30		1000
GC37: 		1200		30		1000
GC38: 		1200		30		1000
GC39: 		1200		30		1000
GC40: 		1200		30		1000
GC41: 		1200		30		1000
GC42: 		1200		30		1000
GC43: 		1200		30		1000
GC44: 		1200		30		1000
GC45: 		1200		30		1000
GC46: 		1200		30		1000
GC47: 		1200		30		1000
GC48: 		1200		30		1000
GC49: 		1200		30		1000
GC50: 		1200		30		1000
GC51: 		1200		30		1000
GC52: 		1200		30		1000
GC53: 		1200		30		1000
GC54: 		1200		30		1000
GC55: 		1200		30		1000
GC56: 		1200		30		1000
GC57: 		1200		30		1000
GC58: 		1200		30		1000
GC59: 		1200		30		1000
GC60: 		1200		30		1000
GC61: 		1200		30		1000
GC62: 		1200		30		1000
GC63: 		1200		30		1000
