environmental target file: temp2.dat, temperature and light data

GCNumber		WATER		TEMPERATURE		LIGHT
GC1: 		1200		30		100
GC2: 		1200		30		110
GC3: 		1200		30		120
GC4: 		1200		30		130
GC5: 		1200		30		140
GC6: 		1200		30		150
GC7: 		1200		30		160
GC8: 		1200		30		170
GC9: 		1200		30		180
GC10: 		1200		30		190
GC11: 		1200		30		200
GC12: 		1200		30		210
GC13: 		1200		30		220
GC14: 		1200		30		230
GC15: 		1200		30		240
GC16: 		1200		30		250
GC17: 		1200		30		260
GC18: 		1200		30		270
GC19: 		1200		30		280
GC20: 		1200		30		290
GC21: 		1200		30		300
GC22: 		1200		30		310
GC23: 		1200		30		320
GC24: 		1200		30		330
GC25: 		1200		30		340
GC26: 		1200		30		350
GC27: 		1200		30		360
GC28: 		1200		30		370
GC29: 		1200		30		380
GC30: 		1200		30		390
GC31: 		1200		30		400
GC32: 		1200		30		410
GC33: 		1200		30		420
GC34: 		1200		30		430
GC35: 		1200		30		440
GC36: 		1200		30		1000
GC37: 		1200		30		1000
GC38: 		1200		30		1000
GC39: 		1200		30		1000
GC40: 		1200		30		1000
GC41: 		1200		30		1000
GC42: 		1200		30		1000
GC43: 		1200		30		1000
GC44: 		1200		30		1000
GC45: 		1200		30		1000
GC46: 		1200		30		1000
GC47: 		1200		30		1000
GC48: 		1200		30		1000
GC49: 		1200		30		1000
GC50: 		1200		30		1000
GC51: 		1200		30		1000
GC52: 		1200		30		1000
GC53: 		1200		30		1000
GC54: 		1200		30		1000
GC55: 		1200		30		1000
GC56: 		1200		30		1000
GC57: 		1200		30		1000
GC58: 		1200		30		1000
GC59: 		1200		30		1000
GC60: 		1200		30		1000
GC61: 		1200		30		1000
GC62: 		1200		30		1000
GC63: 		1200		30		1000
