environmental target file: temp2.dat, temperature and light data

GCNumber		WATER		TEMPERATURE		LIGHT
GC1: 		1200		30		1000
GC2: 		1200		30		970
GC3: 		1200		30		940
GC4: 		1200		30		910
GC5: 		1200		30		880
GC6: 		1200		30		850
GC7: 		1200		30		820
GC8: 		1200		30		790
GC9: 		1200		30		760
GC10: 		1200		30		730
GC11: 		1200		30		700
GC12: 		1200		30		670
GC13: 		1200		30		640
GC14: 		1200		30		610
GC15: 		1200		30		580
GC16: 		1200		30		550
GC17: 		1200		30		520
GC18: 		1200		30		490
GC19: 		1200		30		460
GC20: 		1200		30		430
GC21: 		1200		30		400
GC22: 		1200		30		370
GC23: 		1200		30		340
GC24: 		1200		30		310
GC25: 		1200		30		280
GC26: 		1200		30		250
GC27: 		1200		30		220
GC28: 		1200		30		190
GC29: 		1200		30		160
GC30: 		1200		30		130
GC31: 		1200		30		100
GC32: 		1200		30		70
GC33: 		1200		30		40
GC34: 		1200		30		10
GC35: 		1200		30		10
GC36: 		1200		30		0
GC37: 		1200		30		0
GC38: 		1200		30		0
GC39: 		1200		30		0
GC40: 		1200		30		0
GC41: 		1200		30		0
GC42: 		1200		30		0
GC43: 		1200		30		0
GC44: 		1200		30		0
GC45: 		1200		30		0
GC46: 		1200		30		0
GC47: 		1200		30		0
GC48: 		1200		30		0
GC49: 		1200		30		0
GC50: 		1200		30		0
GC51: 		1200		30		0
GC52: 		1200		30		0
GC53: 		1200		30		0
GC54: 		1200		30		0
GC55: 		1200		30		0
GC56: 		1200		30		0
GC57: 		1200		30		0
GC58: 		1200		30		0
GC59: 		1200		30		0
GC60: 		1200		30		0
GC61: 		1200		30		0
GC62: 		1200		30		0
GC63: 		1200		30		0
